_id,lectura,lectura2,date,fecha,hora
6439b6aa83fa35c94742d393,21.40,47.00,2023-04-14 16:25:14,2023-04-14,16:25:32
6439b6ae83fa35c94742d394,21.40,47.00,2023-04-14 16:25:18,2023-04-14,16:25:37
6439b6b483fa35c94742d395,21.40,47.00,2023-04-14 16:25:24,2023-04-14,16:25:42
6439b6b983fa35c94742d396,21.40,47.00,2023-04-14 16:25:29,2023-04-14,16:25:47
6439b6be83fa35c94742d397,21.40,47.00,2023-04-14 16:25:34,2023-04-14,16:25:52
6439b6c383fa35c94742d398,21.40,47.00,2023-04-14 16:25:39,2023-04-14,16:25:57
6439b6c883fa35c94742d399,21.40,47.00,2023-04-14 16:25:44,2023-04-14,16:26:02
6439b6cd83fa35c94742d39a,21.40,47.00,2023-04-14 16:25:49,2023-04-14,16:26:08
6439b6d383fa35c94742d39b,21.40,47.00,2023-04-14 16:25:55,2023-04-14,16:26:13
6439b6d883fa35c94742d39c,21.40,47.00,2023-04-14 16:26:00,2023-04-14,16:26:18
6439b6dd83fa35c94742d39d,21.40,47.00,2023-04-14 16:26:05,2023-04-14,16:26:23
6439b6e283fa35c94742d39e,21.40,47.00,2023-04-14 16:26:10,2023-04-14,16:26:28
6439b6e783fa35c94742d39f,21.40,46.00,2023-04-14 16:26:15,2023-04-14,16:26:33
6439b6ec83fa35c94742d3a0,21.30,46.00,2023-04-14 16:26:20,2023-04-14,16:26:39
6439b6f183fa35c94742d3a1,21.30,46.00,2023-04-14 16:26:25,2023-04-14,16:26:44
6439b6f783fa35c94742d3a2,21.30,46.00,2023-04-14 16:26:31,2023-04-14,16:26:49
6439b6fc83fa35c94742d3a3,21.40,46.00,2023-04-14 16:26:36,2023-04-14,16:26:54
6439b70183fa35c94742d3a4,21.30,46.00,2023-04-14 16:26:41,2023-04-14,16:26:59
6439b70683fa35c94742d3a5,21.40,46.00,2023-04-14 16:26:46,2023-04-14,16:27:04
6439b70b83fa35c94742d3a6,21.40,46.00,2023-04-14 16:26:51,2023-04-14,16:27:09
6439b71083fa35c94742d3a7,21.40,46.00,2023-04-14 16:26:56,2023-04-14,16:27:15
6439b71583fa35c94742d3a8,21.30,46.00,2023-04-14 16:27:01,2023-04-14,16:27:20
6439b71b83fa35c94742d3a9,21.30,46.00,2023-04-14 16:27:07,2023-04-14,16:27:25
6439b72083fa35c94742d3aa,21.40,45.00,2023-04-14 16:27:12,2023-04-14,16:27:30
6439b72583fa35c94742d3ab,21.30,46.00,2023-04-14 16:27:17,2023-04-14,16:27:35
6439b72a83fa35c94742d3ac,21.40,45.00,2023-04-14 16:27:22,2023-04-14,16:27:40
6439b72f83fa35c94742d3ad,21.30,45.00,2023-04-14 16:27:27,2023-04-14,16:27:45
6439b73483fa35c94742d3ae,21.30,45.00,2023-04-14 16:27:32,2023-04-14,16:27:51
6439b73a83fa35c94742d3af,21.30,45.00,2023-04-14 16:27:38,2023-04-14,16:27:56
6439b73f83fa35c94742d3b0,21.30,45.00,2023-04-14 16:27:43,2023-04-14,16:28:01
6439b74483fa35c94742d3b1,21.30,45.00,2023-04-14 16:27:48,2023-04-14,16:28:06
6439b74983fa35c94742d3b2,21.30,45.00,2023-04-14 16:27:53,2023-04-14,16:28:11
6439b74e83fa35c94742d3b3,21.30,45.00,2023-04-14 16:27:58,2023-04-14,16:28:16
6439b75383fa35c94742d3b4,21.30,45.00,2023-04-14 16:28:03,2023-04-14,16:28:22
6439b75883fa35c94742d3b5,21.30,45.00,2023-04-14 16:28:08,2023-04-14,16:28:27
6439b75e83fa35c94742d3b6,21.30,45.00,2023-04-14 16:28:14,2023-04-14,16:28:32
6439b76383fa35c94742d3b7,21.30,46.00,2023-04-14 16:28:19,2023-04-14,16:28:37
6439b76883fa35c94742d3b8,21.30,46.00,2023-04-14 16:28:24,2023-04-14,16:28:42
6439b76d83fa35c94742d3b9,21.30,46.00,2023-04-14 16:28:29,2023-04-14,16:28:47
6439b77283fa35c94742d3ba,21.30,45.00,2023-04-14 16:28:34,2023-04-14,16:28:52
6439b77783fa35c94742d3bb,21.30,46.00,2023-04-14 16:28:39,2023-04-14,16:28:58
6439b77d83fa35c94742d3bc,21.30,46.00,2023-04-14 16:28:45,2023-04-14,16:29:03
6439b78283fa35c94742d3bd,21.30,46.00,2023-04-14 16:28:50,2023-04-14,16:29:08
6439b78783fa35c94742d3be,21.30,46.00,2023-04-14 16:28:55,2023-04-14,16:29:13
6439b78c83fa35c94742d3bf,21.30,45.00,2023-04-14 16:29:00,2023-04-14,16:29:18
6439b79183fa35c94742d3c0,21.30,45.00,2023-04-14 16:29:05,2023-04-14,16:29:23
6439b79683fa35c94742d3c1,21.30,46.00,2023-04-14 16:29:10,2023-04-14,16:29:28
6439b79b83fa35c94742d3c2,21.30,46.00,2023-04-14 16:29:15,2023-04-14,16:29:34
6439b7a183fa35c94742d3c3,21.30,46.00,2023-04-14 16:29:21,2023-04-14,16:29:39
6439b7a683fa35c94742d3c4,21.30,46.00,2023-04-14 16:29:26,2023-04-14,16:29:44
6439b7ab83fa35c94742d3c5,21.30,46.00,2023-04-14 16:29:31,2023-04-14,16:29:49
6439b7b083fa35c94742d3c6,21.30,46.00,2023-04-14 16:29:36,2023-04-14,16:29:54
6439b7b583fa35c94742d3c7,21.30,46.00,2023-04-14 16:29:41,2023-04-14,16:29:59
6439b7ba83fa35c94742d3c8,21.30,46.00,2023-04-14 16:29:46,2023-04-14,16:30:05
6439b7bf83fa35c94742d3c9,21.30,46.00,2023-04-14 16:29:51,2023-04-14,16:30:10
6439b7c583fa35c94742d3ca,21.30,46.00,2023-04-14 16:29:57,2023-04-14,16:30:15
6439b7ca83fa35c94742d3cb,21.30,45.00,2023-04-14 16:30:02,2023-04-14,16:30:20
6439b7cf83fa35c94742d3cc,21.30,45.00,2023-04-14 16:30:07,2023-04-14,16:30:25
6439b7d483fa35c94742d3cd,21.30,45.00,2023-04-14 16:30:12,2023-04-14,16:30:30
6439b7d983fa35c94742d3ce,21.30,45.00,2023-04-14 16:30:17,2023-04-14,16:30:35
6439b7de83fa35c94742d3cf,21.30,45.00,2023-04-14 16:30:22,2023-04-14,16:30:41
6439b7e383fa35c94742d3d0,21.30,45.00,2023-04-14 16:30:27,2023-04-14,16:30:46
6439b7e983fa35c94742d3d1,21.30,45.00,2023-04-14 16:30:33,2023-04-14,16:30:51
6439b7ee83fa35c94742d3d2,21.30,45.00,2023-04-14 16:30:38,2023-04-14,16:30:56
6439b7f383fa35c94742d3d3,21.30,45.00,2023-04-14 16:30:43,2023-04-14,16:31:01
6439b7f883fa35c94742d3d4,21.30,45.00,2023-04-14 16:30:48,2023-04-14,16:31:06
6439b7fd83fa35c94742d3d5,21.30,46.00,2023-04-14 16:30:53,2023-04-14,16:31:11
6439b80383fa35c94742d3d6,21.30,46.00,2023-04-14 16:30:59,2023-04-14,16:31:17
6439b80783fa35c94742d3d7,21.30,46.00,2023-04-14 16:31:03,2023-04-14,16:31:22
6439b80d83fa35c94742d3d8,21.30,46.00,2023-04-14 16:31:09,2023-04-14,16:31:27
6439b81283fa35c94742d3d9,21.30,46.00,2023-04-14 16:31:14,2023-04-14,16:31:32
6439b81783fa35c94742d3da,21.30,46.00,2023-04-14 16:31:19,2023-04-14,16:31:37
6439b81c83fa35c94742d3db,21.30,46.00,2023-04-14 16:31:24,2023-04-14,16:31:42
6439b82183fa35c94742d3dc,21.30,46.00,2023-04-14 16:31:29,2023-04-14,16:31:47
6439b82683fa35c94742d3dd,21.30,46.00,2023-04-14 16:31:34,2023-04-14,16:31:53
6439b82c83fa35c94742d3de,21.30,46.00,2023-04-14 16:31:40,2023-04-14,16:31:58
6439b83183fa35c94742d3df,21.30,46.00,2023-04-14 16:31:45,2023-04-14,16:32:03
6439b83683fa35c94742d3e0,21.30,46.00,2023-04-14 16:31:50,2023-04-14,16:32:08
6439b83b83fa35c94742d3e1,21.30,46.00,2023-04-14 16:31:55,2023-04-14,16:32:13
6439b84083fa35c94742d3e2,21.30,46.00,2023-04-14 16:32:00,2023-04-14,16:32:18
6439b84683fa35c94742d3e3,21.30,46.00,2023-04-14 16:32:06,2023-04-14,16:32:24
6439b84a83fa35c94742d3e4,21.30,46.00,2023-04-14 16:32:10,2023-04-14,16:32:29
6439b85083fa35c94742d3e5,21.30,46.00,2023-04-14 16:32:16,2023-04-14,16:32:34
6439b85583fa35c94742d3e6,21.30,46.00,2023-04-14 16:32:21,2023-04-14,16:32:39
6439b85a83fa35c94742d3e7,21.30,46.00,2023-04-14 16:32:26,2023-04-14,16:32:44
6439b85f83fa35c94742d3e8,21.30,46.00,2023-04-14 16:32:31,2023-04-14,16:32:49
6439b86483fa35c94742d3e9,21.30,46.00,2023-04-14 16:32:36,2023-04-14,16:32:54
6439b86983fa35c94742d3ea,21.30,46.00,2023-04-14 16:32:41,2023-04-14,16:33:00
6439b86f83fa35c94742d3eb,21.30,46.00,2023-04-14 16:32:47,2023-04-14,16:33:05
