_id,lectura,lectura2,lectura3,date,fecha,hora
643cc430c702c9e7d70e1453,21.00,36.00,48,2023-04-16 23:59:44,2023-04-17,00:00:03
643cc435c702c9e7d70e1454,21.00,36.00,46,2023-04-16 23:59:49,2023-04-17,00:00:08
643cc43bc702c9e7d70e1455,21.00,36.00,46,2023-04-16 23:59:55,2023-04-17,00:00:13
643cc440c702c9e7d70e1456,21.00,36.00,46,2023-04-17 00:00:00,2023-04-17,00:00:18
643cc445c702c9e7d70e1457,21.00,36.00,46,2023-04-17 00:00:05,2023-04-17,00:00:24
643cc44ac702c9e7d70e1458,21.00,36.00,46,2023-04-17 00:00:10,2023-04-17,00:00:29
643cc44fc702c9e7d70e1459,21.00,36.00,46,2023-04-17 00:00:15,2023-04-17,00:00:34
643cc454c702c9e7d70e145a,21.00,36.00,46,2023-04-17 00:00:20,2023-04-17,00:00:39
643cc45ac702c9e7d70e145b,21.10,36.00,46,2023-04-17 00:00:26,2023-04-17,00:00:44
643cc45fc702c9e7d70e145c,21.10,36.00,46,2023-04-17 00:00:31,2023-04-17,00:00:49
643cc464c702c9e7d70e145d,21.10,36.00,46,2023-04-17 00:00:36,2023-04-17,00:00:54
643cc469c702c9e7d70e145e,21.10,36.00,46,2023-04-17 00:00:41,2023-04-17,00:01:00
643cc46ec702c9e7d70e145f,21.10,36.00,48,2023-04-17 00:00:46,2023-04-17,00:01:05
643cc473c702c9e7d70e1460,21.10,36.00,46,2023-04-17 00:00:51,2023-04-17,00:01:10
643cc478c702c9e7d70e1461,21.10,36.00,46,2023-04-17 00:00:56,2023-04-17,00:01:15
643cc47ec702c9e7d70e1462,21.10,36.00,46,2023-04-17 00:01:02,2023-04-17,00:01:20
643cc483c702c9e7d70e1463,21.20,36.00,46,2023-04-17 00:01:07,2023-04-17,00:01:25
643cc488c702c9e7d70e1464,21.20,36.00,46,2023-04-17 00:01:12,2023-04-17,00:01:31
643cc48dc702c9e7d70e1465,21.20,36.00,46,2023-04-17 00:01:17,2023-04-17,00:01:36
643cc492c702c9e7d70e1466,21.20,36.00,46,2023-04-17 00:01:22,2023-04-17,00:01:41
643cc497c702c9e7d70e1467,21.20,36.00,46,2023-04-17 00:01:27,2023-04-17,00:01:46
643cc49dc702c9e7d70e1468,21.20,36.00,46,2023-04-17 00:01:33,2023-04-17,00:01:51
643cc4a2c702c9e7d70e1469,21.20,36.00,46,2023-04-17 00:01:38,2023-04-17,00:01:56
643cc4a7c702c9e7d70e146a,21.20,36.00,46,2023-04-17 00:01:43,2023-04-17,00:02:01
643cc4acc702c9e7d70e146b,21.20,36.00,46,2023-04-17 00:01:48,2023-04-17,00:02:07
643cc4b1c702c9e7d70e146c,21.20,36.00,46,2023-04-17 00:01:53,2023-04-17,00:02:12
643cc4b6c702c9e7d70e146d,21.30,36.00,46,2023-04-17 00:01:58,2023-04-17,00:02:17
643cc4bbc702c9e7d70e146e,21.30,36.00,46,2023-04-17 00:02:03,2023-04-17,00:02:22
643cc4c1c702c9e7d70e146f,21.30,36.00,46,2023-04-17 00:02:09,2023-04-17,00:02:27
643cc4c6c702c9e7d70e1470,21.30,35.00,46,2023-04-17 00:02:14,2023-04-17,00:02:32
643cc4cbc702c9e7d70e1471,21.30,35.00,46,2023-04-17 00:02:19,2023-04-17,00:02:38
643cc4d0c702c9e7d70e1472,21.30,35.00,45,2023-04-17 00:02:24,2023-04-17,00:02:43
643cc4d5c702c9e7d70e1473,21.30,35.00,46,2023-04-17 00:02:29,2023-04-17,00:02:48
643cc4dac702c9e7d70e1474,21.30,35.00,45,2023-04-17 00:02:34,2023-04-17,00:02:53
643cc4e0c702c9e7d70e1475,21.30,35.00,45,2023-04-17 00:02:40,2023-04-17,00:02:58
643cc4e5c702c9e7d70e1476,21.30,35.00,46,2023-04-17 00:02:45,2023-04-17,00:03:03
643cc4eac702c9e7d70e1477,21.20,35.00,45,2023-04-17 00:02:50,2023-04-17,00:03:08
643cc4efc702c9e7d70e1478,21.20,35.00,45,2023-04-17 00:02:55,2023-04-17,00:03:14
643cc4f4c702c9e7d70e1479,21.20,35.00,46,2023-04-17 00:03:00,2023-04-17,00:03:19
643cc4f9c702c9e7d70e147a,21.20,35.00,46,2023-04-17 00:03:05,2023-04-17,00:03:24
643cc4fec702c9e7d70e147b,21.20,35.00,46,2023-04-17 00:03:10,2023-04-17,00:03:29
643cc504c702c9e7d70e147c,21.20,35.00,46,2023-04-17 00:03:16,2023-04-17,00:03:34
643cc509c702c9e7d70e147d,21.20,35.00,46,2023-04-17 00:03:21,2023-04-17,00:03:39
643cc50ec702c9e7d70e147e,21.20,35.00,46,2023-04-17 00:03:26,2023-04-17,00:03:44
643cc513c702c9e7d70e147f,21.30,35.00,46,2023-04-17 00:03:31,2023-04-17,00:03:50
643cc518c702c9e7d70e1480,21.30,35.00,46,2023-04-17 00:03:36,2023-04-17,00:03:55
643cc51dc702c9e7d70e1481,21.20,35.00,46,2023-04-17 00:03:41,2023-04-17,00:04:00
643cc522c702c9e7d70e1482,21.20,35.00,46,2023-04-17 00:03:46,2023-04-17,00:04:05
643cc528c702c9e7d70e1483,21.30,35.00,46,2023-04-17 00:03:52,2023-04-17,00:04:10
643cc52dc702c9e7d70e1484,21.30,35.00,46,2023-04-17 00:03:57,2023-04-17,00:04:15
643cc532c702c9e7d70e1485,21.30,35.00,46,2023-04-17 00:04:02,2023-04-17,00:04:21
643cc537c702c9e7d70e1486,21.20,35.00,46,2023-04-17 00:04:07,2023-04-17,00:04:26
643cc53cc702c9e7d70e1487,21.20,35.00,46,2023-04-17 00:04:12,2023-04-17,00:04:31
